Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Peptides LG1	Peptides LG2	Razor + unique peptides LG1	Razor + unique peptides LG2	Unique peptides LG1	Unique peptides LG2	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Fraction average	Fraction 1	Q-value	Score	Identification type LG1	Identification type LG2	Ratio H/L	Ratio H/L normalized	Ratio H/L variability [%]	Ratio H/L count	Ratio H/L iso-count	Ratio H/L type	Ratio H/L LG1	Ratio H/L LG2	Ratio H/L normalized LG1	Ratio H/L normalized LG2	Ratio H/L variability [%] LG1	Ratio H/L variability [%] LG2	Ratio H/L count LG1	Ratio H/L count LG2	Ratio H/L iso-count LG1	Ratio H/L iso-count LG2	Ratio H/L type LG1	Ratio H/L type LG2	Sequence coverage LG1 [%]	Sequence coverage LG2 [%]	Intensity	Intensity L	Intensity H	Intensity LG1	Intensity L LG1	Intensity H LG1	Intensity LG2	Intensity L LG2	Intensity H LG2	iBAQ	iBAQ L	iBAQ H	iBAQ LG1	iBAQ L LG1	iBAQ H LG1	iBAQ LG2	iBAQ L LG2	iBAQ H LG2	LFQ intensity L LG1	LFQ intensity H LG1	LFQ intensity L LG2	LFQ intensity H LG2	Only identified by site	Reverse	Potential contaminant	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	Oxidation (M) site IDs	Oxidation (M) site positions
Tb927.11.3600:mRNA-p1;Tb927.11.3590:mRNA-p1;Tb11.v5.1059.1-p1	Tb927.11.3600:mRNA-p1;Tb927.11.3590:mRNA-p1;Tb11.v5.1059.1-p1	4;4;4	4;4;4	4;4;4	Tb927.11.3600:mRNA-p1 | transcript=Tb927.11.3600:mRNA | gene=Tb927.11.3600 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=40S ribosomal protein S4, putative | transcript_product=40S ribosomal protein S4, putative | location=Tb927_11_v5.1:10633	3	4	4	4	4	0	4	0	4	0	14.7	14.7	14.7	30.644	273	273;273;273	1	4	0	26.375	By MS/MS		0.083454	0.15422	136.39	4	4	Median	0.083454	NaN	0.15422	NaN	136.39	NaN	4	0	4	0	Median	Median	14.7	0	438930	365410	73513	438930	365410	73513	0	0	0	24385	20301	4084	24385	20301	4084	0	0	0	1557100	240150	0	0				45	396;902;904;949	True;True;True;True	446;1003;1005;1052	701;1656;1659;1726	1169;2708;2711;2817	1169;2708;2711;2817	47	179
Tb927.1.120:mRNA-p1;Tb11.v5.0489.1-p1;Tb927.2.450:mRNA-p1;Tb11.v5.1020.1-p1;Tb11.v5.0800.1-p1;Tb11.0050:pseudogenic_transcript-p1;Tb927.6.5170:pseudogenic_transcript-p1;Tb927.4.220:pseudogenic_transcript-p1;Tb11.v5.0495.1-p1;Tb11.v5.0295.1-p1;Tb927.6.5160:pseudogenic_transcript-p1;Tb927.1.410:pseudogenic_transcript-p1;Tb927.2.1100:pseudogenic_transcript-p1;Tb927.2.1120:pseudogenic_transcript-p1;Tb11.0820:pseudogenic_transcript-p1;Tb927.2.480:pseudogenic_transcript-p1	Tb927.1.120:mRNA-p1;Tb11.v5.0489.1-p1;Tb927.2.450:mRNA-p1;Tb11.v5.1020.1-p1	4;3;3;2;1;1;1;1;1;1;1;1;1;1;1;1	1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	Tb927.1.120:mRNA-p1 | transcript=Tb927.1.120:mRNA | gene=Tb927.1.120 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=retrotransposon hot spot protein 4 (RHS4), putative | transcript_product=retrotransposon hot spot protein 4 (RHS4), putative | 	16	4	1	1	4	1	1	0	1	0	4.9	1.4	1.4	98.024	856	856;573;857;554;193;317;337;345;349;409;580;581;582;711;803;818	1	1	1	-2	By MS/MS	By matching	NaN	NaN	NaN	1	1	Median	NaN	NaN	NaN	NaN	NaN	NaN	1	0	1	0	Median	Median	4.9	1.3	122840	105580	17262	122840	105580	17262	0	0	0	2729.8	2346.2	383.61	2729.8	2346.2	383.61	0	0	0	162650	155990	0	0	+			46	330;358;561;685	False;False;False;True	374;404;634;768	593;640;1047;1048;1266	1014;1074;1704;1705;1706;2039	1014;1074;1706;2039	48	494
Tb927.1.2400:mRNA-p1;Tb927.1.2380:mRNA-p1;Tb927.1.2360:mRNA-p1;Tb927.1.2340:mRNA-p1	Tb927.1.2400:mRNA-p1;Tb927.1.2380:mRNA-p1;Tb927.1.2360:mRNA-p1;Tb927.1.2340:mRNA-p1	21;21;21;21	21;21;21;21	9;9;9;9	Tb927.1.2400:mRNA-p1 | transcript=Tb927.1.2400:mRNA | gene=Tb927.1.2400 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=alpha tubulin | transcript_product=alpha tubulin | location=Tb927_01_v5.1:583368-584723(+) | protein_length=451 | sequence_S	4	21	21	9	19	13	19	13	7	7	52.8	52.8	17.7	49.787	451	451;451;451;451	1	55	0	200.35	By MS/MS	By MS/MS	0.0965	0.26353	64.594	43	14	Leave out requantified	0.052629	0.22061	0.10325	0.77154	20.324	12.097	26	17	8	6	Leave out requantified	Leave out requantified	51.2	37	47823000	42768000	5055400	29126000	27644000	1481600	18698000	15124000	3573800	2277300	2036600	240740	1386900	1316400	70553	890360	720180	170180	69887000	7216100	17895000	22176000				47	32;84;89;98;106;154;164;186;281;357;376;475;519;520;576;621;622;643;644;761;763	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	34;89;94;104;112;172;185;207;312;403;423;533;581;582;650;701;702;724;725;851;853	50;146;147;148;155;156;157;158;172;182;183;184;185;186;266;267;287;315;316;494;638;639;664;665;666;667;668;669;670;671;873;973;974;975;1070;1071;1072;1073;1074;1075;1076;1165;1166;1167;1168;1169;1170;1171;1202;1203;1410;1411;1412;1414;1415	73;239;240;241;242;249;250;251;252;253;254;255;256;286;302;303;304;305;306;307;308;309;310;311;312;313;314;315;424;425;426;427;428;429;430;465;466;511;512;513;514;515;516;517;518;519;821;1072;1073;1126;1127;1128;1129;1130;1131;1132;1133;1134;1135;1431;1580;1581;1582;1583;1584;1585;1759;1760;1761;1762;1763;1764;1765;1766;1899;1900;1901;1902;1903;1904;1905;1944;1945;2330;2331;2332;2333;2335;2336;2337;2338;2339;2340;2341;2342;2343;2344;2345;2346	73;239;251;286;311;426;465;516;821;1072;1135;1431;1581;1585;1763;1899;1904;1944;1945;2330;2342	23;24;25;26;27	301;302;377;398;413
Tb927.1.2550:mRNA-p1;Tb927.1.2530:mRNA-p1;Tb927.1.2510:mRNA-p1;Tb927.1.2490:mRNA-p1;Tb927.1.2470:mRNA-p1;Tb927.1.2450:mRNA-p1;Tb927.1.2430:mRNA-p1	Tb927.1.2550:mRNA-p1;Tb927.1.2530:mRNA-p1;Tb927.1.2510:mRNA-p1;Tb927.1.2490:mRNA-p1;Tb927.1.2470:mRNA-p1;Tb927.1.2450:mRNA-p1;Tb927.1.2430:mRNA-p1	2;2;2;2;2;2;2	2;2;2;2;2;2;2	2;2;2;2;2;2;2	Tb927.1.2550:mRNA-p1 | transcript=Tb927.1.2550:mRNA | gene=Tb927.1.2550 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=histone H3, putative | transcript_product=histone H3, putative | location=Tb927_01_v5.1:602011-602412(+) | protein_length=13	7	2	2	2	2	0	2	0	2	0	12.8	12.8	12.8	14.75	133	133;133;133;133;133;133;133	1	2	0	12.919	By MS/MS		0.19329	0.38056	18.814	2	1	Median	0.19329	NaN	0.38056	NaN	18.814	NaN	2	0	1	0	Median	Median	12.8	0	501580	409880	91699	501580	409880	91699	0	0	0	71654	58555	13100	71654	58555	13100	0	0	0	1182100	449870	0	0				48	138;719	True;True	152;805	241;1319	393;2154	393;2154		
Tb927.10.560:mRNA-p1;Tb927.1.3180:mRNA-p1	Tb927.10.560:mRNA-p1;Tb927.1.3180:mRNA-p1	3;3	3;3	3;3	Tb927.10.560:mRNA-p1 | transcript=Tb927.10.560:mRNA | gene=Tb927.10.560 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=40S ribosomal proteins S11, putative | transcript_product=40S ribosomal proteins S11, putative | location=Tb927_10_v5.1:1471	2	3	3	3	3	0	3	0	3	0	15.5	15.5	15.5	20.087	174	174;174	1	3	0	22.132	By MS/MS		0.11487	0.21712	20.645	3	3	Median	0.11487	NaN	0.21712	NaN	20.645	NaN	3	0	3	0	Median	Median	15.5	0	573870	496740	77131	573870	496740	77131	0	0	0	63763	55193	8570.2	63763	55193	8570.2	0	0	0	1567300	340300	0	0				49	373;630;948	True;True;True	420;710;1051	661;1182;1725	1120;1923;2816	1120;1923;2816		
Tb927.1.3830:mRNA-p1	Tb927.1.3830:mRNA-p1	2	2	2	Tb927.1.3830:mRNA-p1 | transcript=Tb927.1.3830:mRNA | gene=Tb927.1.3830 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=glucose-6-phosphate isomerase, glycosomal | transcript_product=glucose-6-phosphate isomerase, glycosomal | location=Tb927_01	1	2	2	2	1	1	1	1	1	1	4.1	4.1	4.1	67.614	607	607	1	3	0	12.224	By MS/MS	By MS/MS	0.33139	0.75126	18.989	2	1	Median	NaN	NaN	NaN	NaN	NaN	NaN	1	1	0	1	Median	Median	1.6	2.5	244210	210300	33908	87067	66354	20714	157140	143950	13194	8721.8	7510.8	1211	3109.5	2369.8	739.77	5612.3	5141.1	471.22	0	0	97656	74163				50	498;701	True;True	558;559;786	940;941;1291	1537;1538;2082	1538;2082	49	410
Tb927.1.720:mRNA-p1;Tb927.1.710:mRNA-p1;Tb927.1.700:mRNA-p1	Tb927.1.720:mRNA-p1;Tb927.1.710:mRNA-p1;Tb927.1.700:mRNA-p1	4;2;2	4;2;2	4;2;2	Tb927.1.720:mRNA-p1 | transcript=Tb927.1.720:mRNA | gene=Tb927.1.720 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=phosphoglycerate kinase | transcript_product=phosphoglycerate kinase | location=Tb927_01_v5.1:235770-237299(-) | protein_length	3	4	4	4	2	3	2	3	2	3	8.8	8.8	8.8	55.747	509	509;420;440	1	5	0	26.938	By MS/MS	By MS/MS	0.35853	0.93188	40.098	5	2	Median	0.38518	0.35853	0.70545	0.98837	39.367	31.818	2	3	1	1	Median	Median	4.3	6.9	462590	302570	160020	132750	87881	44866	329840	214690	115160	14922	9760.3	5162	4282.1	2834.9	1447.3	10640	6925.4	3714.7	0	0	367050	362780				51	143;258;402;733	True;True;True;True	159;287;453;821	250;454;713;1343;1344	403;762;1198;2194	403;762;1198;2194		
Tb927.1.990:mRNA-p1	Tb927.1.990:mRNA-p1	5	5	5	Tb927.1.990:mRNA-p1 | transcript=Tb927.1.990:mRNA | gene=Tb927.1.990 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=Enkuring domain-containig protein | transcript_product=Enkuring domain-containig protein | location=Tb927_01_v5.1:288582-289706	1	5	5	5	0	5	0	5	0	5	19.5	19.5	19.5	42.207	374	374	1	5	0	38.489		By MS/MS	0.46073	1.3028	10.505	5	0	Leave out requantified	NaN	0.46073	NaN	1.3028	NaN	10.505	0	5	0	0	Median	Leave out requantified	0	19.5	524650	365160	159500	0	0	0	524650	365160	159500	24984	17388	7595.1	0	0	0	24984	17388	7595.1	0	0	490700	639290				52	129;317;581;589;792	True;True;True;True;True	139;359;655;667;884	222;572;1087;1113;1459	369;370;371;975;1780;1819;2412	370;975;1780;1819;2412		
Tb927.10.10590:mRNA-p1;Tb927.10.10580:mRNA-p1;Tb927.10.10570:mRNA-p1;Tb927.10.10560:mRNA-p1;Tb927.10.10550:mRNA-p1;Tb927.10.10540:mRNA-p1;Tb927.10.10530:mRNA-p1;Tb927.10.10520:mRNA-p1;Tb927.10.10510:mRNA-p1;Tb927.10.10500:mRNA-p1;Tb927.10.10490:mRNA-p1;Tb927.10.10480:mRNA-p1;Tb927.10.10470:mRNA-p1;Tb927.10.10460:mRNA-p1;Tb927.10.10445:mRNA-p1	Tb927.10.10590:mRNA-p1;Tb927.10.10580:mRNA-p1;Tb927.10.10570:mRNA-p1;Tb927.10.10560:mRNA-p1;Tb927.10.10550:mRNA-p1;Tb927.10.10540:mRNA-p1;Tb927.10.10530:mRNA-p1;Tb927.10.10520:mRNA-p1;Tb927.10.10510:mRNA-p1;Tb927.10.10500:mRNA-p1;Tb927.10.10490:mRNA-p1;Tb927.10.10480:mRNA-p1;Tb927.10.10470:mRNA-p1;Tb927.10.10460:mRNA-p1;Tb927.10.10445:mRNA-p1	5;5;5;5;5;5;5;5;5;5;5;5;5;5;5	5;5;5;5;5;5;5;5;5;5;5;5;5;5;5	5;5;5;5;5;5;5;5;5;5;5;5;5;5;5	Tb927.10.10590:mRNA-p1 | transcript=Tb927.10.10590:mRNA | gene=Tb927.10.10590 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=histone H2B, putative | transcript_product=histone H2B, putative | location=Tb927_10_v5.1:2584907-2585245(-) | protein	15	5	5	5	3	5	3	5	3	5	44.6	44.6	44.6	12.569	112	112;112;112;112;112;112;112;112;112;112;112;112;112;112;112	1	11	0	37.136	By MS/MS	By MS/MS	0.32165	0.82531	9.5062	11	2	Leave out requantified	0.2974	0.35009	0.56125	1.179	8.734	12.689	3	8	0	2	Leave out requantified	Leave out requantified	27.7	44.6	3081900	2264100	817740	536490	417970	118510	2545400	1846200	699230	385240	283020	102220	67061	52247	14814	318180	230770	87403	1176900	660560	1588400	3474500				53	350;413;529;686;819	True;True;True;True;True	395;464;592;769;770;771;913	622;623;730;731;989;990;1267;1268;1269;1270;1500	1045;1046;1047;1048;1227;1228;1229;1230;1231;1232;1233;1619;2040;2041;2042;2043;2044;2476	1045;1232;1619;2040;2476	50;51	41;43
Tb927.10.1090:mRNA-p1;Tb927.10.1080:mRNA-p1	Tb927.10.1090:mRNA-p1;Tb927.10.1080:mRNA-p1	3;3	3;3	3;3	Tb927.10.1090:mRNA-p1 | transcript=Tb927.10.1090:mRNA | gene=Tb927.10.1090 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=40S ribosomal protein S23, putative | transcript_product=40S ribosomal protein S23, putative | location=Tb927_10_v5.1:290	2	3	3	3	3	0	3	0	3	0	21.7	21.7	21.7	15.928	143	143;143	1	3	0	20.112	By MS/MS		0.11822	0.23761	24.974	3	1	Median	0.11822	NaN	0.23761	NaN	24.974	NaN	3	0	1	0	Median	Median	21.7	0	398920	355990	42934	398920	355990	42934	0	0	0	56989	50855	6133.5	56989	50855	6133.5	0	0	0	992670	235870	0	0				54	673;679;891	True;True;True	754;760;990	1251;1258;1631	2023;2031;2671	2023;2031;2671		
Tb927.10.1100:mRNA-p1;Tb927.6.4690:mRNA-p1	Tb927.10.1100:mRNA-p1;Tb927.6.4690:mRNA-p1	4;3	4;3	4;3	Tb927.10.1100:mRNA-p1 | transcript=Tb927.10.1100:mRNA | gene=Tb927.10.1100 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=60S ribosomal protein L9, putative | transcript_product=60S ribosomal protein L9, putative | location=Tb927_10_v5.1:29172	2	4	4	4	4	0	4	0	4	0	25.9	25.9	25.9	21.857	189	189;187	1	6	0	27.726	By MS/MS		0.4889	0.23493	81.432	6	5	Linear	0.4889	NaN	0.23493	NaN	81.432	NaN	6	0	5	0	Linear	Median	25.9	0	578900	465300	113600	578900	465300	113600	0	0	0	52628	42300	10327	52628	42300	10327	0	0	0	1878400	441300	0	0				55	394;422;583;677	True;True;True;True	444;474;657;758	698;699;753;1089;1255;1256	1165;1166;1258;1782;2028;2029	1166;1258;1782;2028	52	78
Tb927.10.11390:mRNA-p1	Tb927.10.11390:mRNA-p1	2	2	2	Tb927.10.11390:mRNA-p1 | transcript=Tb927.10.11390:mRNA | gene=Tb927.10.11390 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=60S ribosomal protein L6, putative | transcript_product=60S ribosomal protein L6, putative | location=Tb927_10_v5.1:27	1	2	2	2	2	0	2	0	2	0	14.6	14.6	14.6	21.185	192	192	1	2	0	16.195	By MS/MS		0.082284	0.15913	45.794	2	1	Median	0.082284	NaN	0.15913	NaN	45.794	NaN	2	0	1	0	Median	Median	14.6	0	316560	285130	31432	316560	285130	31432	0	0	0	28778	25921	2857.4	28778	25921	2857.4	0	0	0	885440	140900	0	0				56	567;834	True;True	641;929	1056;1531	1718;2539	1718;2539		
Tb927.9.6070:mRNA-p1;Tb927.10.11540:mRNA-p1	Tb927.9.6070:mRNA-p1;Tb927.10.11540:mRNA-p1	3;3	3;3	3;3	Tb927.9.6070:mRNA-p1 | transcript=Tb927.9.6070:mRNA | gene=Tb927.9.6070 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=40S ribosomal protein S3, putative | transcript_product=40S ribosomal protein S3, putative | location=Tb927_09_v5.1:1008372-	2	3	3	3	3	0	3	0	3	0	12.6	12.6	12.6	24.216	214	214;214	1	4	0	19.309	By MS/MS		0.15846	0.296	65.609	4	4	Median	0.15846	NaN	0.296	NaN	65.609	NaN	4	0	4	0	Median	Median	12.6	0	578760	471210	107550	578760	471210	107550	0	0	0	48230	39267	8962.7	48230	39267	8962.7	0	0	0	1418900	419990	0	0				57	6;294;488	True;True;True	7;325;326;547	11;513;514;925	14;854;855;1517	14;855;1517	53	98
Tb927.10.12700:mRNA-p1	Tb927.10.12700:mRNA-p1	7	7	7	Tb927.10.12700:mRNA-p1 | transcript=Tb927.10.12700:mRNA | gene=Tb927.10.12700 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=pyruvate dehydrogenase E1 alpha subunit, putative | transcript_product=pyruvate dehydrogenase E1 alpha subunit, putati	1	7	7	7	7	2	7	2	7	2	19.8	19.8	19.8	42.511	378	378	1	10	0	47.305	By MS/MS	By MS/MS	0.15894	0.30582	97.418	9	8	Median	0.13046	0.57099	0.24685	1.5599	49.646	2.3791	7	2	7	1	Median	Median	19.8	5.6	1068000	933320	134650	917200	836950	80248	150770	96364	54405	44499	38888	5610.5	38217	34873	3343.7	6282.1	4015.2	2266.9	1749900	431970	193570	0				58	17;130;267;303;639;645;806	True;True;True;True;True;True;True	19;140;296;340;341;719;726;899	28;223;464;541;542;543;1196;1204;1476;1477	42;372;779;918;919;920;1937;1946;2436;2437	42;372;779;918;1937;1946;2436	54	275
Tb927.10.13360:mRNA-p1	Tb927.10.13360:mRNA-p1	6	6	6	Tb927.10.13360:mRNA-p1 | transcript=Tb927.10.13360:mRNA | gene=Tb927.10.13360 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=Elongation factor Tu, mitochondrial | transcript_product=Elongation factor Tu, mitochondrial | location=Tb927_10_v5.1:	1	6	6	6	6	0	6	0	6	0	14	14	14	51.849	470	470	1	6	0	46.355	By MS/MS		0.12742	0.24079	87.653	5	5	Median	0.12742	NaN	0.24079	NaN	87.653	NaN	5	0	5	0	Median	Median	14	0	612820	548990	63838	612820	548990	63838	0	0	0	22697	20333	2364.4	22697	20333	2364.4	0	0	0	1423400	342750	0	0				59	101;459;777;804;836;879	True;True;True;True;True;True	107;515;869;897;931;977	176;842;1439;1474;1534;1610	291;1393;2382;2432;2544;2645	291;1393;2382;2432;2544;2645		
Tb927.10.13430:mRNA-p1	Tb927.10.13430:mRNA-p1	5	5	5	Tb927.10.13430:mRNA-p1 | transcript=Tb927.10.13430:mRNA | gene=Tb927.10.13430 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=citrate synthase, putative | transcript_product=citrate synthase, putative | location=Tb927_10_v5.1:3277670-3279124(-)	1	5	5	5	5	0	5	0	5	0	11	11	11	53.584	484	484	1	6	0	31.258	By MS/MS		0.072683	0.14609	59.651	6	6	Median	0.072683	NaN	0.14609	NaN	59.651	NaN	6	0	6	0	Median	Median	11	0	641720	581280	60447	641720	581280	60447	0	0	0	26738	24220	2518.6	26738	24220	2518.6	0	0	0	1886500	275590	0	0				60	1;514;526;716;779	True;True;True;True;True	1;575;589;802;871	2;967;985;1314;1315;1441	2;1573;1613;2127;2128;2384	2;1573;1613;2127;2384	55;56;57	75;79;472
Tb927.10.13517:mRNA-p1	Tb927.10.13517:mRNA-p1	4	4	1	Tb927.10.13517:mRNA-p1 | transcript=Tb927.10.13517:mRNA | gene=Tb927.10.13517 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=40S ribosomal protein S27-like, putative | transcript_product=40S ribosomal protein S27-like, putative | location=Tb92	1	4	4	1	4	1	4	1	1	0	58.1	58.1	11.6	9.6302	86	86	1	7	0	28.887	By MS/MS	By MS/MS	0.19031	0.36242	54.823	7	2	Leave out requantified	0.19031	NaN	0.36242	NaN	60.377	NaN	6	1	2	0	Leave out requantified	Median	58.1	15.1	1378400	1082600	295740	1155300	909190	246140	223060	173460	49600	275680	216530	59148	231070	181840	49228	44612	34692	9919.9	2063100	747700	0	0				61	42;270;531;571	True;True;True;True	44;300;594;595;645	67;472;473;474;993;994;1060	104;105;796;797;798;1623;1624;1722	104;796;1623;1722	58	34
Tb927.10.1390:mRNA-p1	Tb927.10.1390:mRNA-p1	9	9	9	Tb927.10.1390:mRNA-p1 | transcript=Tb927.10.1390:mRNA | gene=Tb927.10.1390 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=Hypoxanthine-guanine-xanthine phosphoribosyltransferase | transcript_product=Hypoxanthine-guanine-xanthine phosphoribosyl	1	9	9	9	4	8	4	8	4	8	45.7	45.7	45.7	26.36	234	234	1	16	0	71.748	By MS/MS	By MS/MS	0.43411	1.0668	9.906	13	3	Leave out requantified	0.57874	0.31215	1.0942	1.0524	7.4052	11.091	5	8	0	3	Leave out requantified	Leave out requantified	18.4	40.2	2790700	1981800	808880	630150	390560	239590	2160500	1591200	569280	214670	152450	62221	48473	30043	18430	166190	122400	43791	1232200	1348200	1382000	2650300				62	118;194;250;316;346;715;830;899;940	True;True;True;True;True;True;True;True;True	126;216;217;278;357;358;390;391;801;925;1000;1043	205;329;330;331;439;440;570;571;617;618;1312;1313;1525;1526;1649;1714	342;343;344;535;536;537;722;723;972;973;974;1040;1041;2120;2121;2122;2123;2124;2125;2126;2532;2533;2698;2795;2796;2797;2798	343;536;723;973;1041;2121;2532;2698;2797	59;60	96;146
Tb927.10.14550:mRNA-p1	Tb927.10.14550:mRNA-p1	1	1	1	Tb927.10.14550:mRNA-p1 | transcript=Tb927.10.14550:mRNA | gene=Tb927.10.14550 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=ATP-dependent RNA helicase HEL67 | transcript_product=ATP-dependent RNA helicase HEL67 | location=Tb927_10_v5.1:356501	1	1	1	1	1	0	1	0	1	0	2.1	2.1	2.1	66.588	618	618	1	1	0	7.5439	By MS/MS		NaN	NaN	NaN	1	0	Median	NaN	NaN	NaN	NaN	NaN	NaN	1	0	0	0	Median	Median	2.1	0	93015	76212	16803	93015	76212	16803	0	0	0	2447.8	2005.6	442.19	2447.8	2005.6	442.19	0	0	0	117410	151840	0	0				63	857	True	954	1572	2595	2595		
Tb927.11.4820:mRNA-p1;Tb927.10.14580:mRNA-p1	Tb927.11.4820:mRNA-p1;Tb927.10.14580:mRNA-p1	1;1	1;1	1;1	Tb927.11.4820:mRNA-p1 | transcript=Tb927.11.4820:mRNA | gene=Tb927.11.4820 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=60S ribosomal protein L17, putative | transcript_product=60S ribosomal protein L17, putative | location=Tb927_11_v5.1:138	2	1	1	1	1	0	1	0	1	0	5.4	5.4	5.4	19.105	166	166;166	1	1	0	6.8411	By MS/MS		NaN	NaN	NaN	1	1	Median	NaN	NaN	NaN	NaN	NaN	NaN	1	0	1	0	Median	Median	5.4	0	90693	83105	7587.8	90693	83105	7587.8	0	0	0	15115	13851	1264.6	15115	13851	1264.6	0	0	0	136480	73096	0	0				64	347	True	392	619	1042	1042		
Tb927.10.14840:mRNA-p1;Tb927.10.14830:mRNA-p1;Tb927.10.14820:mRNA-p1	Tb927.10.14840:mRNA-p1;Tb927.10.14830:mRNA-p1;Tb927.10.14820:mRNA-p1	2;2;2	2;2;2	2;2;2	Tb927.10.14840:mRNA-p1 | transcript=Tb927.10.14840:mRNA | gene=Tb927.10.14840 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=Mitochondrial ADP/ATP carrier protein 5a | transcript_product=Mitochondrial ADP/ATP carrier protein 5a | location=Tb92	3	2	2	2	1	2	1	2	1	2	7.5	7.5	7.5	34.074	307	307;307;307	1	3	0	13.863	By MS/MS	By MS/MS	0.24546	0.57503	25.784	2	2	Median	NaN	NaN	NaN	NaN	NaN	NaN	1	1	1	1	Median	Median	3.9	7.5	275690	236450	39245	88265	66703	21562	187430	169750	17683	16217	13909	2308.5	5192.1	3923.7	1268.4	11025	9985.1	1040.1	0	0	162660	99391				65	490;764	True;True	549;854	927;1416;1417	1519;2347;2348	1519;2348	61;62	48;49
Tb927.10.15410:mRNA-p1	Tb927.10.15410:mRNA-p1	11	11	11	Tb927.10.15410:mRNA-p1 | transcript=Tb927.10.15410:mRNA | gene=Tb927.10.15410 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=glycosomal malate dehydrogenase | transcript_product=glycosomal malate dehydrogenase | location=Tb927_10_v5.1:3786037-	1	11	11	11	8	9	8	9	8	9	27.9	27.9	27.9	33.71	323	323	1	35	0	83.526	By MS/MS	By MS/MS	0.38656	0.84206	8.7303	26	6	Leave out requantified	0.41443	0.24238	0.81397	0.92276	8.373	9.4368	13	13	0	6	Leave out requantified	Leave out requantified	21.4	23.8	22811000	17220000	5590500	8880500	6195700	2684800	13930000	11024000	2905700	2534500	1913400	621160	986720	688410	298310	1547800	1224900	322850	13438000	10938000	12875000	19422000				66	141;309;325;485;500;501;626;637;641;884;922	True;True;True;True;True;True;True;True;True;True;True	157;349;350;369;544;561;562;706;717;721;722;982;1023	247;555;556;557;558;586;911;912;913;914;915;916;917;918;919;920;921;943;944;945;946;1176;1189;1190;1191;1192;1193;1198;1199;1200;1619;1620;1683;1684;1685	399;400;941;942;943;944;945;946;947;948;949;950;951;952;953;954;955;956;998;1484;1485;1486;1487;1488;1489;1490;1491;1492;1493;1494;1495;1496;1497;1498;1499;1500;1501;1502;1503;1504;1505;1506;1507;1508;1509;1510;1511;1512;1540;1541;1542;1543;1544;1545;1546;1547;1911;1912;1913;1930;1931;1932;1933;1934;1939;1940;1941;1942;2657;2658;2659;2750;2751;2752	400;954;998;1501;1544;1547;1911;1930;1939;2657;2752	63;64;65	235;293;300
Tb927.10.15760:mRNA-p1	Tb927.10.15760:mRNA-p1	1	1	1	Tb927.10.15760:mRNA-p1 | transcript=Tb927.10.15760:mRNA | gene=Tb927.10.15760 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Tb927_10_v5.1:3895573-	1	1	1	1	1	0	1	0	1	0	3.5	3.5	3.5	36.411	315	315	1	1	0	6.7169	By MS/MS		NaN	NaN	NaN	1	0	Median	NaN	NaN	NaN	NaN	NaN	NaN	1	0	0	0	Median	Median	3.5	0	61240	52118	9122.1	61240	52118	9122.1	0	0	0	3827.5	3257.4	570.13	3827.5	3257.4	570.13	0	0	0	85592	87876	0	0				67	646	True	727	1205	1947	1947		
