Gene ID	Organism	Genomic Location (Gene)	Product Description	Gene Name or Symbol	
Tb8.NT.99	Trypanosoma brucei brucei TREU927	Tb927_08_v5.1:1,879,137..1,880,305(+)	Noncoding RNA, putative	N/A	
Tb927.8.5180	Trypanosoma brucei brucei TREU927	Tb927_08_v5.1:1,546,221..1,547,088(+)	U6 snRNA-associated sm-like protein Lsm2	LSm2	
Tb927.9.4207	Trypanosoma brucei brucei TREU927	Tb927_09_v5.1:797,229..797,541(+)	Noncoding RNA, putative	N/A	
Tb927_09_v4.snoRNA.0048	Trypanosoma brucei brucei TREU927	Tb927_09_v5.1:1,966,976..1,967,044(+)	C/D snoRNA	N/A	
Tb927.9.6390	Trypanosoma brucei brucei TREU927	Tb927_09_v5.1:1,049,389..1,050,030(+)	hypothetical protein, conserved	N/A	
Tb927_09_v4.snoRNA.0105	Trypanosoma brucei brucei TREU927	Tb927_09_v5.1:1,683,562..1,683,654(-)	C/D snoRNA	N/A	
Tb927.8.4300	Trypanosoma brucei brucei TREU927	Tb927_08_v5.1:1,274,460..1,276,319(-)	hypothetical protein	N/A	
Tb927.9.7020	Trypanosoma brucei brucei TREU927	Tb927_09_v5.1:1,138,543..1,139,235(+)	hypothetical protein, conserved	N/A	
Tb927.10.910	Trypanosoma brucei brucei TREU927	Tb927_10_v5.1:249,246..251,747(+)	DNA repair and recombination helicase protein PIF6	TbPIF6	
Tb927.10.1920	Trypanosoma brucei brucei TREU927	Tb927_10_v5.1:503,850..504,391(+)	hypothetical protein	N/A	
Tb10_tRNA_Pro_2:tRNA	Trypanosoma brucei brucei TREU927	Tb927_10_v5.1:1,925,039..1,925,110(+)	tRNA Proline	N/A	
Tb927.10.13910	Trypanosoma brucei brucei TREU927	Tb927_10_v5.1:3,394,078..3,395,180(-)	hypothetical protein, conserved	N/A	
Tb927.8.5420	Trypanosoma brucei brucei TREU927	Tb927_08_v5.1:1,606,120..1,607,378(-)	methyltransferase domain containing protein, putative	N/A	
Tb927.11.9990	Trypanosoma brucei brucei TREU927	Tb927_11_v5.1:2,690,441..2,692,443(+)	glycosyl transferase-like protein	N/A	
Tb927.10.12140	Trypanosoma brucei brucei TREU927	Tb927_10_v5.1:2,959,213..2,961,792(+)	hypothetical protein, conserved	N/A	
Tb927.10.16030	Trypanosoma brucei brucei TREU927	Tb927_10_v5.1:3,948,942..3,950,142(+)	mitogen activated protein kinase 4, putative	MAPK2	
Tb927.10.7680	Trypanosoma brucei brucei TREU927	Tb927_10_v5.1:1,932,610..1,934,208(-)	GTPase activating protein, putative	N/A	
Tb11.v5.0987	Trypanosoma brucei brucei TREU927	Tb927_11_bin_v5.1:5,090,543..5,095,492(-)	hypothetical protein, conserved	N/A	
Tb11.v5.0275	Trypanosoma brucei brucei TREU927	Tb927_11_bin_v5.1:583,365..586,159(+)	major vault protein, putative	N/A	
Tb11.v5.0113	Trypanosoma brucei brucei TREU927	Tb927_11_bin_v5.1:5,851..7,074(-)	variant surface protein (VSG), putative	N/A	
Tb11.v5.0428	Trypanosoma brucei brucei TREU927	Tb927_11_bin_v5.1:1,681,431..1,683,296(-)	hypothetical protein, conserved	N/A	
Tb11.v5.0879	Trypanosoma brucei brucei TREU927	Tb927_11_bin_v5.1:4,588,696..4,595,865(+)	variant surface glycoprotein (VSG), putative	N/A	
Tb11.v5.0747	Trypanosoma brucei brucei TREU927	Tb927_11_bin_v5.1:3,849,801..3,854,959(+)	variant surface glycoprotein (VSG), putative	N/A	
Tb927.11.8260	Trypanosoma brucei brucei TREU927	Tb927_11_v5.1:2,320,960..2,322,653(+)	carbonic anhydrase-like protein	N/A	
Tb927.11.17670	Trypanosoma brucei brucei TREU927	Tb927_11_v5.1:4,781,327..4,782,643(-)	variant surface glycoprotein (VSG), degenerate	N/A	
Tb927.11.16760	Trypanosoma brucei brucei TREU927	Tb927_11_v5.1:4,458,569..4,460,256(-)	T-complex protein 1, alpha subunit, putative	TCP-1-alpha	
Tb927.11.2000	Trypanosoma brucei brucei TREU927	Tb927_11_v5.1:581,160..582,822(+)	Cupin-like domain containing protein, putative	N/A	
Tb927.11.16590	Trypanosoma brucei brucei TREU927	Tb927_11_v5.1:4,405,503..4,407,218(-)	RNA-binding protein, putative	RBP37	
Tb10.v4.0189	Trypanosoma brucei brucei TREU927	tryp_X-324h11.p1k:75,758..77,293(+)	variant surface glycoprotein (VSG, atypical), putative	N/A	
Tb11.1220	Trypanosoma brucei brucei TREU927	tryp_XI-396e01.q2k3025:2,346..4,951(+)	hypothetical protein	N/A	
Tb927.8.2851	Trypanosoma brucei brucei TREU927	Tb927_08_v5.1:854,289..854,362(-)	tRNA Isoleucine	N/A	
Tb927.11.tRNA_Phe_1	Trypanosoma brucei brucei TREU927	Tb927_11_v5.1:3,513,149..3,513,313(+)	tRNA Phenylalanine	N/A	
Tb927.3.3740	Trypanosoma brucei brucei TREU927	Tb927_03_v5.1:1,044,045..1,047,503(+)	Zinc-finger double-stranded RNA-binding, putative	N/A	
Tb927.9.5370	Trypanosoma brucei brucei TREU927	Tb927_09_v5.1:935,577..936,709(+)	2OG-Fe(II) oxygenase superfamily, putative	N/A	
Tb927.9.13470	Trypanosoma brucei brucei TREU927	Tb927_09_v5.1:2,134,412..2,136,935(-)	hypothetical protein, conserved	N/A	
Tb927.10.610	Trypanosoma brucei brucei TREU927	Tb927_10_v5.1:159,936..162,177(+)	hypothetical protein, conserved	N/A	
Tb927.10.1520	Trypanosoma brucei brucei TREU927	Tb927_10_v5.1:415,021..416,016(-)	ras-related protein Rab21, putative	RAB21	
Tb11.v5.0846	Trypanosoma brucei brucei TREU927	Tb927_11_bin_v5.1:4,414,055..4,414,918(+)	hypothetical protein, conserved	N/A	
Tb927.11.13540	Trypanosoma brucei brucei TREU927	Tb927_11_v5.1:3,619,640..3,621,168(-)	hypothetical protein, conserved	N/A	
Tb927.1.4400	Trypanosoma brucei brucei TREU927	Tb927_01_v5.1:907,880..908,989(+)	hypothetical protein, conserved	N/A	
Tb927.2.2320	Trypanosoma brucei brucei TREU927	Tb927_02_v5.1:451,021..451,856(-)	hypothetical protein	N/A	
Tb927.2.200	Trypanosoma brucei brucei TREU927	Tb927_02_v5.1:18,121..21,832(+)	expression site-associated gene 3 (ESAG3), degenerate	N/A	
Tb927.3.3439	Trypanosoma brucei brucei TREU927	Tb927_03_v5.1:942,169..942,340(+)	5.8S ribosomal RNA	M3	
Tb927.3.5110	Trypanosoma brucei brucei TREU927	Tb927_03_v5.1:1,433,760..1,435,292(+)	hypothetical protein, conserved	N/A	
Tb927.3.2170	Trypanosoma brucei brucei TREU927	Tb927_03_v5.1:570,057..572,987(-)	translation elongation factor EF-2, putative	N/A	
Tb927.3.1420	Trypanosoma brucei brucei TREU927	Tb927_03_v5.1:353,744..364,947(+)	hypothetical protein, conserved	TZP391	
Tb927.3.3420	Trypanosoma brucei brucei TREU927	Tb927_03_v5.1:895,831..900,971(-)	hypothetical protein, point mutation	N/A	
Tb927.4.220	Trypanosoma brucei brucei TREU927	Tb927_04_v5.1:41,068..42,152(-)	retrotransposon hot spot protein 2 (RHS2), interrupted, degenerate	N/A	
Tb927.4.2060	Trypanosoma brucei brucei TREU927	Tb927_04_v5.1:514,362..516,448(-)	Flagellum attachment zone protein 8	FAZ8	
Tb927.5.2950	Trypanosoma brucei brucei TREU927	Tb927_05_v5.1:986,415..989,109(+)	Component of motile flagella 3	CMF3	
Tb927.5.1920	Trypanosoma brucei brucei TREU927	Tb927_05_v5.1:652,976..655,145(+)	hypothetical protein, conserved	N/A	
Tb927.5.3270	Trypanosoma brucei brucei TREU927	Tb927_05_v5.1:1,080,439..1,083,160(-)	Autophagy protein Apg6, putative	N/A	
Tb927.6.1810	Trypanosoma brucei brucei TREU927	Tb927_06_v5.1:605,394..606,779(-)	Alpha/beta hydrolase family, putative	N/A	
Tb927.6.1750	Trypanosoma brucei brucei TREU927	Tb927_06_v5.1:584,161..586,325(-)	Rab-GTPase-TBC domain containing protein, putative	N/A	
Tb927.7.4180	Trypanosoma brucei brucei TREU927	Tb927_07_v5.1:1,114,562..1,116,575(+)	Fatty acid elongase	ELO1	
Tb927.7.6500	Trypanosoma brucei brucei TREU927	Tb927_07_v5.1:1,763,786..1,770,756(+)	variant surface glycoprotein (VSG), putative	N/A	
Tb927.7.2780	Trypanosoma brucei brucei TREU927	Tb927_07_v5.1:722,168..722,857(+)	hypothetical protein, conserved	XAC1	
Tb927.7.6320	Trypanosoma brucei brucei TREU927	Tb927_07_v5.1:1,716,663..1,720,256(-)	BTB/POZ domain/Regulator of chromosome condensation (RCC1) repeat, putative	N/A	
Tb927.8.4850	Trypanosoma brucei brucei TREU927	Tb927_08_v5.1:1,429,657..1,430,756(-)	hypothetical protein, conserved	N/A	
Tb927.8.1890	Trypanosoma brucei brucei TREU927	Tb927_08_v5.1:613,650..615,425(-)	cytochrome c1, heme protein, mitochondrial, putative	CYC1	
Tb927.8.4510	Trypanosoma brucei brucei TREU927	Tb927_08_v5.1:1,334,676..1,337,572(-)	Nucleoside diphosphate kinase 4	NDPK4	
Tb927.8.3740	Trypanosoma brucei brucei TREU927	Tb927_08_v5.1:1,118,415..1,119,755(-)	pterin 4 alpha carbinolamine dehydratase, putative	N/A	
Tb927.8.3240	Trypanosoma brucei brucei TREU927	Tb927_08_v5.1:965,524..966,752(+)	lathosterol oxidase, putative	N/A	
Tb927.9.17500	Trypanosoma brucei brucei TREU927	Tb927_09_v5.1:2,945,082..2,945,516(-)	expression site-associated gene 3 (ESAG3, pseudogene), putative	N/A	
Tb927.9.490	Trypanosoma brucei brucei TREU927	Tb927_09_v5.1:116,799..118,357(+)	variant surface glycoprotein (VSG, pseudogene), putative	N/A	
Tb927.9.15950	Trypanosoma brucei brucei TREU927	Tb927_09_v5.1:2,530,051..2,532,729(-)	hypothetical protein	N/A	
Tb09_rRNA_1	Trypanosoma brucei brucei TREU927	Tb927_09_v5.1:2,860,565..2,861,116(-)	28S beta ribosomal RNA (fragment)	28S-beta	
Tb927.9.7260	Trypanosoma brucei brucei TREU927	Tb927_09_v5.1:1,176,760..1,177,974(+)	phytanoyl-CoA dioxygenase (PhyH), putative	MRB7260	
Tb927.9.5880	Trypanosoma brucei brucei TREU927	Tb927_09_v5.1:991,502..992,996(+)	pre-mRNA splicing factor, putative	PRP45	
Tb927.10.5000	Trypanosoma brucei brucei TREU927	Tb927_10_v5.1:1,239,867..1,240,738(+)	hypothetical protein, conserved	N/A	
Tb927.10.3810	Trypanosoma brucei brucei TREU927	Tb927_10_v5.1:1,001,904..1,003,858(-)	Nucleoporin NUP65	NUP65	
Tb927.10.12530	Trypanosoma brucei brucei TREU927	Tb927_10_v5.1:3,040,566..3,041,176(-)	chaperone protein DnaJ, putative	J13	
Tb927.10.4140	Trypanosoma brucei brucei TREU927	Tb927_10_v5.1:1,086,753..1,088,195(-)	Protein of unknown function (DUF1242), putative	N/A	
Tb927.10.14290	Trypanosoma brucei brucei TREU927	Tb927_10_v5.1:3,472,816..3,473,160(-)	hypothetical protein	N/A	
Tb927.10.13750	Trypanosoma brucei brucei TREU927	Tb927_10_v5.1:3,358,389..3,359,313(-)	hypothetical protein, conserved	N/A	
Tb927.10.12650	Trypanosoma brucei brucei TREU927	Tb927_10_v5.1:3,072,261..3,072,854(-)	hypothetical protein, conserved	N/A	
Tb927.2.2360	Trypanosoma brucei brucei TREU927	Tb927_02_v5.1:457,061..460,283(-)	Ankyrin repeats (3 copies)/Zinc finger, C3HC4 type (RING finger), putative	N/A	
Tb927.4.4870	Trypanosoma brucei brucei TREU927	Tb927_04_v5.1:1,329,191..1,330,621(-)	amino acid transporter, putative	N/A	
Tb927.4.4160	Trypanosoma brucei brucei TREU927	Tb927_04_v5.1:1,100,829..1,103,985(-)	RNA editing mediator complex protein 5	REMC5	
Tb927.4.5560	Trypanosoma brucei brucei TREU927	Tb927_04_v5.1:1,515,810..1,517,375(-)	variant surface glycoprotein (VSG), putative	N/A	
Tb927.5.1290	Trypanosoma brucei brucei TREU927	Tb927_05_v5.1:479,324..480,781(+)	hypothetical protein, conserved	N/A	
Tb927.5.2190	Trypanosoma brucei brucei TREU927	Tb927_05_v5.1:751,870..753,225(+)	META domain/Domain of unknown function (DUF1935), putative	N/A	
Tb927.5.297b	Trypanosoma brucei brucei TREU927	Tb927_05_v5.1:122,373..129,558(+)	hypothetical protein	N/A	
Tb927.5.3320	Trypanosoma brucei brucei TREU927	Tb927_05_v5.1:1,098,222..1,103,130(-)	Pseudokinase, putative	N/A	
Tb927.6.2710	Trypanosoma brucei brucei TREU927	Tb927_06_v5.1:812,157..815,741(+)	E3 ubiquitin-protein ligase HEL2, putative	N/A	
Tb927.6.3950	Trypanosoma brucei brucei TREU927	Tb927_06_v5.1:1,160,247..1,162,621(-)	hypothetical protein, conserved	N/A	
Tb927_06_v4.snoRNA.0036	Trypanosoma brucei brucei TREU927	Tb927_06_v5.1:615,745..615,821(-)	H/ACA-like snoRNA	N/A	
Tb927.6.5810	Trypanosoma brucei brucei TREU927	Tb927_06_v5.1:1,610,845..1,612,053(+)	transposase of Tn10	N/A	
Tb927.6.1290	Trypanosoma brucei brucei TREU927	Tb927_06_v5.1:472,843..475,673(-)	hypothetical protein, conserved	N/A	
Tb927.7.1210	Trypanosoma brucei brucei TREU927	Tb927_07_v5.1:308,964..313,308(+)	regulator of chromosome condensation, putative	N/A	
Tb927.7.430	Trypanosoma brucei brucei TREU927	Tb927_07_v5.1:76,842..77,919(-)	hypothetical protein, conserved	N/A	
Tb927_08_v4.snoRNA.0019	Trypanosoma brucei brucei TREU927	Tb927_08_v5.1:535,581..535,663(+)	C/D snoRNA	N/A	
Tb927.8.7060	Trypanosoma brucei brucei TREU927	Tb927_08_v5.1:2,025,403..2,030,485(+)	hypothetical protein, conserved	N/A	
Tb927.8.8270	Trypanosoma brucei brucei TREU927	Tb927_08_v5.1:2,446,684..2,451,408(+)	hypothetical protein, conserved	N/A	
Tb927.8.8250	Trypanosoma brucei brucei TREU927	Tb927_08_v5.1:2,441,574..2,442,990(+)	amino acid transporter, putative	N/A	
Tb927.8.2270	Trypanosoma brucei brucei TREU927	Tb927_08_v5.1:693,770..694,421(+)	Present in the outer mitochondrial membrane proteome 39-3	POMP39-3	
Tb8.NT.9	Trypanosoma brucei brucei TREU927	Tb927_08_v5.1:189,238..189,777(-)	Noncoding RNA, putative	N/A	
Tb927.8.6710	Trypanosoma brucei brucei TREU927	Tb927_08_v5.1:1,943,647..1,945,468(-)	hypothetical protein, conserved	N/A	
Tb927.9.6350	Trypanosoma brucei brucei TREU927	Tb927_09_v5.1:1,040,683..1,041,921(+)	inositol-1(or 4)-monophosphatase, putative	IMPase	
Tb927.9.13770	Trypanosoma brucei brucei TREU927	Tb927_09_v5.1:2,175,948..2,176,885(-)	proteasome complex subunit Rpn13 ubiquitin receptor, putative	N/A	
Tb927.9.940	Trypanosoma brucei brucei TREU927	Tb927_09_v5.1:244,118..245,377(+)	variant surface glycoprotein (VSG, pseudogene), putative	N/A	
Tb927.9.2520	Trypanosoma brucei brucei TREU927	Tb927_09_v5.1:534,064..560,380(-)	microtubule-associated protein	GB4	
Tb927.9.5960	Trypanosoma brucei brucei TREU927	Tb927_09_v5.1:1,000,457..1,002,149(+)	succinate dehydrogenase iron-sulfur subunit, putative	SDH2C	
Tb927_09_v4.snoRNA.0120	Trypanosoma brucei brucei TREU927	Tb927_09_v5.1:1,971,093..1,971,317(+)	C/D snoRNA	N/A	
Tb927.10.13930	Trypanosoma brucei brucei TREU927	Tb927_10_v5.1:3,396,972..3,398,195(-)	phosphatidic acid phosphatase, putative	ESP21	
Tb927.10.16110	Trypanosoma brucei brucei TREU927	Tb927_10_v5.1:3,963,044..3,964,320(+)	component of motile flagella 1	CMF1	
Tb927.10.460	Trypanosoma brucei brucei TREU927	Tb927_10_v5.1:119,107..122,948(+)	NIMA-related protein kinase	NRKC	
Tb927_10_v4.snoRNA.0035:snoRNA	Trypanosoma brucei brucei TREU927	Tb927_10_v5.1:3,886,228..3,886,291(+)	term	N/A	
Tb927.10.4780	Trypanosoma brucei brucei TREU927	Tb927_10_v5.1:1,200,608..1,202,387(-)	GPI inositol deacylase precursor	GPIdeAc	
Tb927.10.11520	Trypanosoma brucei brucei TREU927	Tb927_10_v5.1:2,810,556..2,811,407(+)	mitochondrial import inner membrane translocase subunit tim13	TIM13	
Tb927.11.19460	Trypanosoma brucei brucei TREU927	Tb927_11_RH_fork_v5.1:267,088..273,730(-)	variant surface glycoprotein (VSG, pseudogene), putative	N/A	
Tb11.v4.0041	Trypanosoma brucei brucei TREU927	Tb927_11_RH_fork_v5.1:628,503..629,990(-)	variant surface glycoprotein (VSG, pseudogene), putative	N/A	
Tb11.v5.0939	Trypanosoma brucei brucei TREU927	Tb927_11_bin_v5.1:4,846,161..4,847,741(-)	variant surface glycoprotein (VSG), putative	N/A	
Tb11.v5.1041	Trypanosoma brucei brucei TREU927	Tb927_11_bin_v5.1:5,524,709..5,526,171(+)	hypothetical protein, conserved	N/A	
Tb11.v5.0199	Trypanosoma brucei brucei TREU927	Tb927_11_bin_v5.1:298,828..301,170(-)	universal minicircle sequence binding protein, putative	N/A	
Tb11.v5.0936	Trypanosoma brucei brucei TREU927	Tb927_11_bin_v5.1:4,833,362..4,834,189(-)	variant surface glycoprotein (VSG, atypical), putative	N/A	
Tb09.v4.0178	Trypanosoma brucei brucei TREU927	tryp_IXb-68a05.p2k3050:60,320..61,634(+)	variant surface glycoprotein (VSG, pseudogene), putative	N/A	
Tb10.v4.0091	Trypanosoma brucei brucei TREU927	tryp_X-220a01.q1c:748..2,273(+)	variant surface glycoprotein (VSG, pseudogene), putative	N/A	
Tb10.v4.0174	Trypanosoma brucei brucei TREU927	tryp_X-324h11.p1k:36,079..36,555(+)	variant surface glycoprotein (VSG, pseudogene), putative	N/A	
Tb10.v4.0202	Trypanosoma brucei brucei TREU927	tryp_X-36a02.p1c:12,492..12,902(+)	variant surface glycoprotein (VSG, pseudogene), putative /product	N/A	
Tb927_06_v4.snoRNA.0001	Trypanosoma brucei brucei TREU927	Tb927_06_v5.1:807,371..807,469(+)	C/D snoRNA	N/A	
Tb927.10.16010	Trypanosoma brucei brucei TREU927	Tb927_10_v5.1:3,943,034..3,947,473(+)	hypothetical protein	N/A	
Tb927.11.4490	Trypanosoma brucei brucei TREU927	Tb927_11_v5.1:1,299,397..1,301,487(+)	long-chain-fatty-acid-CoA ligase, putative	N/A	
Tb927.3.560	Trypanosoma brucei brucei TREU927	Tb927_03_v5.1:120,686..121,796(-)	expression site-associated gene 11 (ESAG11) protein, putative	N/A	
Tb927.5.1510	Trypanosoma brucei brucei TREU927	Tb927_05_v5.1:534,219..535,930(-)	Mitochondrial SSU ribosomal protein, putative	mS23	
Tb927.9.1110	Trypanosoma brucei brucei TREU927	Tb927_09_v5.1:281,609..283,069(+)	variant surface glycoprotein (VSG, atypical), putative	N/A	
Tb927.10.7740	Trypanosoma brucei brucei TREU927	Tb927_10_v5.1:1,945,214..1,948,054(-)	protein transport protein SEC23	SEC23.2	
Tb927.10.2370	Trypanosoma brucei brucei TREU927	Tb927_10_v5.1:607,340..608,381(+)	Lupus La protein homolog, putative	LA	
Tb927.10.1720	Trypanosoma brucei brucei TREU927	Tb927_10_v5.1:459,557..461,364(+)	ATP-dependent DEAD/H RNA helicase, putative	N/A	
Tb927.10.8590	Trypanosoma brucei brucei TREU927	Tb927_10_v5.1:2,125,564..2,129,436(+)	flagellum transition zone component	FTZC	
Tb927.11.170	Trypanosoma brucei brucei TREU927	Tb927_11_v5.1:39,433..40,945(-)	hypothetical protein, conserved	mt-SAF15	
Tb11.02.5050b	Trypanosoma brucei brucei TREU927	Tb927_11_bin_v5.1:614,577..624,245(-)	protein kinase, putative	N/A	
Tb927.3.5480	Trypanosoma brucei brucei TREU927	Tb927_03_v5.1:1,533,067..1,534,922(+)	hypothetical protein, conserved	N/A	
Tb927.11.9830	Trypanosoma brucei brucei TREU927	Tb927_11_v5.1:2,659,558..2,660,181(+)	LSU ribosomal protein, mitochondrial, putative	N/A	
Tb927.3.2200	Trypanosoma brucei brucei TREU927	Tb927_03_v5.1:575,334..576,611(-)	TPR repeat, putative	N/A	
Tb927.9.280	Trypanosoma brucei brucei TREU927	Tb927_09_v5.1:58,254..58,740(+)	transferrin-binding protein, pseudogene	ESAG7	
Tb11.v5.0754	Trypanosoma brucei brucei TREU927	Tb927_11_bin_v5.1:3,893,060..3,913,886(-)	variant surface glycoprotein (VSG), putative	N/A	
Tb11.v5.0729	Trypanosoma brucei brucei TREU927	Tb927_11_bin_v5.1:3,741,173..3,742,045(-)	ribokinase, putative	N/A	
Tb927.11.10120	Trypanosoma brucei brucei TREU927	Tb927_11_v5.1:2,710,260..2,712,814(+)	hypothetical protein, conserved	N/A	
Tb927.11.4080	Trypanosoma brucei brucei TREU927	Tb927_11_v5.1:1,197,212..1,198,333(+)	variant surface glycoprotein (VSG)-related, putative	N/A	
Tb927.11.3320	Trypanosoma brucei brucei TREU927	Tb927_11_v5.1:971,815..973,410(+)	ras-like small GTPase, putative	TbGTR	
Tb927.11.13670	Trypanosoma brucei brucei TREU927	Tb927_11_v5.1:3,640,013..3,645,131(-)	hypothetical protein, conserved	N/A	
Tb927.11.16090	Trypanosoma brucei brucei TREU927	Tb927_11_v5.1:4,256,887..4,260,215(-)	Outer dynein arm docking complex protein 2, putative	dDC2	
Tb927.11.15120	Trypanosoma brucei brucei TREU927	Tb927_11_v5.1:4,021,104..4,023,366(-)	hypothetical protein, conserved	N/A	
Tb09.v4.0077	Trypanosoma brucei brucei TREU927	tryp_IXb-217g08.q1c:42,244..45,476(+)	variant surface glycoprotein (VSG), putative	N/A	
Tb927.6.3300	Trypanosoma brucei brucei TREU927	Tb927_06_v5.1:973,556..975,162(+)	GPI alpha-mannosyltransferase I	GPI14	
Tb927.8.4370	Trypanosoma brucei brucei TREU927	Tb927_08_v5.1:1,302,405..1,305,188(-)	hypothetical protein, conserved	N/A	
Tb927.11.13840	Trypanosoma brucei brucei TREU927	Tb927_11_v5.1:3,681,524..3,683,667(+)	hypothetical protein, conserved	N/A	
Tb927.4.3570	Trypanosoma brucei brucei TREU927	Tb927_04_v5.1:914,992..915,818(-)	translation elongation factor 1-beta, putative	N/A	
Tb927.11.18760	Trypanosoma brucei brucei TREU927	Tb927_11_RH_fork_v5.1:28,872..30,177(-)	variant surface protein (VSG), putative	N/A	
Tb927.11.5690	Trypanosoma brucei brucei TREU927	Tb927_11_v5.1:1,604,876..1,608,112(+)	SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily-related, putative	N/A	
Tb927.3.4790	Trypanosoma brucei brucei TREU927	Tb927_03_v5.1:1,349,765..1,352,413(-)	Aminopeptidase M1, putative	N/A	
Tb927.9.14870	Trypanosoma brucei brucei TREU927	Tb927_09_v5.1:2,323,148..2,323,291(+)	SL RNA	N/A	
Tb927.8.660	Trypanosoma brucei brucei TREU927	Tb927_08_v5.1:184,411..185,403(-)	Sel1 repeat, putative	N/A	
Tb927.9.14810	Trypanosoma brucei brucei TREU927	Tb927_09_v5.1:2,314,880..2,315,023(+)	SL RNA	N/A	
Tb927.10.8960	Trypanosoma brucei brucei TREU927	Tb927_10_v5.1:2,224,233..2,225,937(+)	hypothetical protein, conserved	N/A	
Tb927.10.12940	Trypanosoma brucei brucei TREU927	Tb927_10_v5.1:3,145,406..3,146,772(-)	predicted zinc finger protein	N/A	
Tb927.11.5870	Trypanosoma brucei brucei TREU927	Tb927_11_v5.1:1,665,249..1,667,468(+)	hypothetical protein, conserved	N/A	
Tb927.4.5710	Trypanosoma brucei brucei TREU927	Tb927_04_v5.1:1,568,308..1,570,071(-)	variant surface glycoprotein, degenerate	N/A	
Tb927.10.10790	Trypanosoma brucei brucei TREU927	Tb927_10_v5.1:2,622,996..2,623,451(-)	hypothetical protein	N/A	
Tb927.11.6580	Trypanosoma brucei brucei TREU927	Tb927_11_v5.1:1,849,785..1,852,153(-)	hypothetical protein, conserved	N/A	
Tb927.1.5080	Trypanosoma brucei brucei TREU927	Tb927_01_v5.1:1,015,353..1,016,174(+)	expression site-associated gene 9 (ESAG9) protein, putative	N/A	
Tb927.11.7270	Trypanosoma brucei brucei TREU927	Tb927_11_v5.1:2,053,230..2,054,265(+)	proteasome beta 3 subunit, putative	PSB3	
Tb927.9.17820	Trypanosoma brucei brucei TREU927	Tb927_09_v5.1:3,023,621..3,023,698(+)	expression site-associated gene 3 (ESAG3, pseudogene), putative	N/A	
Tb927.10.110	Trypanosoma brucei brucei TREU927	Tb927_10_v5.1:53,636..55,117(-)	retrotransposon hot spot protein 2 (RHS2), pseudogene	N/A	
Tb927.11.715	Trypanosoma brucei brucei TREU927	Tb927_11_v5.1:172,500..173,659(-)	dynein light chain LC8, putative	N/A	
Tb10.v4.0037	Trypanosoma brucei brucei TREU927	TP3F6-6f06.p1k:13,554..17,167(-)	hypothetical protein, conserved	N/A	
Tb927.9.6910	Trypanosoma brucei brucei TREU927	Tb927_09_v5.1:1,130,226..1,130,737(+)	hypothetical protein, conserved	N/A	
Tb927.11.18000	Trypanosoma brucei brucei TREU927	Tb927_11_v5.1:4,874,521..4,875,012(-)	variant surface glycoprotein (VSG), frameshifted and point mutation	N/A	
Tb927.6.380	Trypanosoma brucei brucei TREU927	Tb927_06_v5.1:180,974..182,172(-)	hypothetical protein, conserved	N/A	
Tb927.10.2520	Trypanosoma brucei brucei TREU927	Tb927_10_v5.1:655,358..657,621(+)	PrimPol-like protein 2	ppl2	
Tb927.11.5190	Trypanosoma brucei brucei TREU927	Tb927_11_v5.1:1,478,393..1,484,610(+)	leucine-rich repeat protein (LRRP), putative	N/A	
Tb927.11.8790	Trypanosoma brucei brucei TREU927	Tb927_11_v5.1:2,414,682..2,416,508(+)	target SNARE, putative	N/A	
Tb927.11.12960	Trypanosoma brucei brucei TREU927	Tb927_11_v5.1:3,469,947..3,470,595(-)	hypothetical protein, conserved	N/A	
Tb927.11.13270	Trypanosoma brucei brucei TREU927	Tb927_11_v5.1:3,559,914..3,561,349(-)	hypothetical protein, conserved	N/A	
Tb927.11.15280	Trypanosoma brucei brucei TREU927	Tb927_11_v5.1:4,052,803..4,053,910(-)	tRNA-sepcific adenosine deaminase	ADAT3	
Tb927.11.11290	Trypanosoma brucei brucei TREU927	Tb927_11_v5.1:3,020,867..3,023,187(+)	heat shock protein 70, putative	HSP70.c	
Tb927.11.16360	Trypanosoma brucei brucei TREU927	Tb927_11_v5.1:4,342,633..4,344,955(-)	WD repeat-containing protein 82, putative	WDR82	
Tb927.11.11080	Trypanosoma brucei brucei TREU927	Tb927_11_v5.1:2,966,724..2,971,255(+)	Nucleoporin NUP149	NUP149	
Tb927.11.3970	Trypanosoma brucei brucei TREU927	Tb927_11_v5.1:1,159,892..1,162,122(+)	hypothetical protein, conserved	N/A	
Tb927.2.4230	Trypanosoma brucei brucei TREU927	Tb927_02_v5.1:742,984..754,825(-)	NUP-1 protein, putative	N/A	
Tb927.3.1200	Trypanosoma brucei brucei TREU927	Tb927_03_v5.1:295,449..299,602(+)	hypothetical protein, conserved	N/A	
Tb927_06_v4.snoRNA.0021	Trypanosoma brucei brucei TREU927	Tb927_06_v5.1:617,978..618,045(-)	H/ACA-like snoRNA	N/A	
Tb927.7.790	Trypanosoma brucei brucei TREU927	Tb927_07_v5.1:179,072..181,091(-)	hypothetical protein, conserved	N/A	
Tb927.7.2890	Trypanosoma brucei brucei TREU927	Tb927_07_v5.1:735,282..735,927(+)	histone H2A, putative	N/A	
Tb927.9.16160	Trypanosoma brucei brucei TREU927	Tb927_09_v5.1:2,573,794..2,574,849(+)	variant surface glycoprotein (VSG, pseudogene), putative	N/A	
